id,element_type,web_name,team_name,opponent_team_name,was_home,now_cost,selected_by_percent,gameweek,minutes,shots,SoT,SiB,xG,npxG,G,npG,key_passes,xA,A,xGC,GC,xCS,CS,xGI,npxGI,xP,total_points,PvsxP,pos_touches,Att Pen,carries_final_third,carries_penalty_area
46,1,Marschall,Aston Villa,West Ham,False,4.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
47,1,Martinez,Aston Villa,West Ham,False,5.0,13.1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,2.009,3,0.991,41.0,0.0,0.0,0.0
48,3,McGinn,Aston Villa,West Ham,False,5.5,1.8,1,61,2.0,0.0,2.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.2,0.2,3.002,2,-1.002,23.0,5.0,0.0,0.0
49,2,Mings,Aston Villa,West Ham,False,4.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
50,2,Nedeljkovic,Aston Villa,West Ham,False,4.0,2.0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,1.0,1,0.0,11.0,0.0,0.0,0.0
51,1,Olsen,Aston Villa,West Ham,False,4.5,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
52,2,Pau,Aston Villa,West Ham,False,4.5,1.9,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,1.009,2,0.991,65.0,0.0,1.0,0.0
53,3,Ramsey,Aston Villa,West Ham,False,5.5,0.4,1,28,1.0,0.0,1.0,0.1,0.1,0.0,0.0,1.0,0.1,1.0,2.3,1.0,0.002,0.0,0.2,0.2,1.8,4,2.2,16.0,2.0,1.0,1.0
54,3,Rogers,Aston Villa,West Ham,False,5.1,14.5,1,90,2.0,1.0,1.0,0.2,0.2,0.0,0.0,2.0,0.2,0.0,2.3,1.0,0.002,0.0,0.4,0.4,3.602,2,-1.602,34.0,3.0,4.0,0.0
55,1,Sinisalo,Aston Villa,West Ham,False,4.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
56,2,Sousa,Aston Villa,West Ham,False,4.0,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
57,3,Tielemans,Aston Villa,West Ham,False,5.5,1.2,1,90,2.0,0.0,0.0,0.2,0.2,0.0,0.0,3.0,0.7,1.0,2.3,1.0,0.002,0.0,0.9,0.9,7.102,7,-0.102,61.0,0.0,0.0,0.0
58,4,Watkins,Aston Villa,West Ham,False,8.9,25.3,1,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1.0,0.002,0.0,0.0,0.0,2.0,2,0.0,14.0,1.0,1.0,1.0
59,2,Aarons,Bournemouth,Nottingham Forest,False,4.5,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
60,3,Adams,Bournemouth,Nottingham Forest,False,5.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
61,3,Anthony,Bournemouth,Nottingham Forest,False,4.5,0.3,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
62,3,Brooks,Bournemouth,Nottingham Forest,False,4.9,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
63,3,Christie,Bournemouth,Nottingham Forest,False,4.9,0.2,1,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,1.0,1,0.0,31.0,1.0,2.0,0.0
64,3,Cook,Bournemouth,Nottingham Forest,False,5.0,0.1,1,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.4,1.0,0.208,0.0,0.4,0.4,2.408,1,-1.408,53.0,0.0,0.0,0.0
65,4,Enes Ünal,Bournemouth,Nottingham Forest,False,5.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
66,3,Faivre,Bournemouth,Nottingham Forest,False,5.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
67,3,H.Traorè,Bournemouth,Nottingham Forest,False,4.5,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
68,2,Hill,Bournemouth,Nottingham Forest,False,4.0,0.4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
69,4,Jebbison,Bournemouth,Nottingham Forest,False,4.5,3.6,1,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,1.0,1,0.0,7.0,1.0,0.0,1.0
70,2,Kerkez,Bournemouth,Nottingham Forest,False,4.5,0.4,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,1.832,1,-0.832,62.0,1.0,2.0,0.0
71,3,Kluivert,Bournemouth,Nottingham Forest,False,5.4,0.3,1,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,17.0,3.0,0.0,1.0
72,2,Mepham,Bournemouth,Nottingham Forest,False,4.4,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
73,1,Neto,Bournemouth,Nottingham Forest,False,4.5,1.9,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,6.832,4,-2.832,38.0,0.0,0.0,0.0
74,3,O.Dango,Bournemouth,Nottingham Forest,False,5.0,0.0,1,68,1.0,0.0,1.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.4,0.4,4.208,2,-2.208,39.0,3.0,0.0,0.0
75,1,Paulsen,Bournemouth,Nottingham Forest,False,4.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
76,3,Philip,Bournemouth,Nottingham Forest,False,4.9,0.1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,1.0,1,0.0,4.0,1.0,0.0,0.0
77,3,Scott,Bournemouth,Nottingham Forest,False,5.0,0.1,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,2.208,2,-0.208,39.0,0.0,0.0,0.0
78,3,Semenyo,Bournemouth,Nottingham Forest,False,5.6,5.0,1,90,5.0,2.0,2.0,0.4,0.4,1.0,1.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.4,0.4,4.208,8,3.792,48.0,5.0,2.0,1.0
79,2,Senesi,Bournemouth,Nottingham Forest,False,4.9,0.7,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
80,3,Sinisterra,Bournemouth,Nottingham Forest,False,5.0,0.4,1,63,2.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.2,0.2,3.208,2,-1.208,26.0,3.0,0.0,1.0
81,2,Smith,Bournemouth,Nottingham Forest,False,4.5,0.2,1,62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,2.832,2,-0.832,28.0,0.0,0.0,0.0
82,4,Solanke,Tottenham,Leicester,False,7.5,8.2,1,90,3.0,3.0,3.0,0.3,0.3,0.0,0.0,1.0,0.1,0.0,1.1,1.0,0.271,0.0,0.4,0.4,3.5,2,-1.5,29.0,8.0,1.0,2.0
83,3,Tavernier,Bournemouth,Nottingham Forest,False,5.5,0.3,1,90,5.0,1.0,2.0,0.6,0.6,0.0,0.0,3.0,0.2,0.0,1.4,1.0,0.208,0.0,0.8,0.8,8.808,2,-6.808,59.0,4.0,6.0,1.0
84,1,Travers,Bournemouth,Nottingham Forest,False,4.5,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
85,2,Zabarnyi,Bournemouth,Nottingham Forest,False,4.5,0.4,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.0,0.208,0.0,0.0,0.0,2.832,2,-0.832,69.0,0.0,1.0,0.0
86,2,Ajer,Brentford,Crystal Palace,True,4.5,0.4,1,90,1.0,1.0,1.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.2,0.2,5.209,2,-3.209,42.0,1.0,3.0,0.0
87,3,Brierley,Brentford,Crystal Palace,True,4.5,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
88,2,Collins,Brentford,Crystal Palace,True,4.5,1.1,1,90,1.0,1.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.1,0.1,3.609,6,2.391,66.0,1.0,0.0,0.0
89,3,Damsgaard,Brentford,Crystal Palace,True,5.0,0.1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,1.0,1,0.0,11.0,0.0,0.0,0.0
90,3,Dasilva,Brentford,Crystal Palace,True,4.9,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
91,1,Flekken,Brentford,Crystal Palace,True,4.5,11.1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,8.009,4,-4.009,58.0,0.0,0.0,0.0
92,2,Henry,Brentford,Crystal Palace,True,4.4,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
93,2,Hickey,Brentford,Crystal Palace,True,4.4,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
94,3,Janelt,Brentford,Crystal Palace,True,4.9,0.2,1,73,2.0,0.0,1.0,0.1,0.1,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.252,0.0,0.1,0.1,2.752,2,-0.752,43.0,1.0,2.0,1.0
95,3,Jensen,Brentford,Crystal Palace,True,5.5,0.2,1,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,2.252,2,-0.252,47.0,0.0,1.0,0.0
96,2,Ji-soo,Brentford,Crystal Palace,True,4.0,0.2,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
97,3,Konak,Brentford,Crystal Palace,True,4.5,0.1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
98,3,Lewis-Potter,Brentford,Crystal Palace,True,5.0,0.1,1,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,1.0,1,0.0,6.0,0.0,0.0,0.0
99,3,Mbeumo,Brentford,Crystal Palace,True,7.1,7.8,1,89,1.0,1.0,1.0,0.1,0.1,1.0,1.0,3.0,0.3,0.0,1.0,1.0,0.252,0.0,0.4,0.4,3.652,9,5.348,36.0,1.0,2.0,1.0
100,2,Mee,Brentford,Crystal Palace,True,4.4,0.7,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,0.0,0.0
101,3,Nørgaard,Brentford,Crystal Palace,True,5.0,0.1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,1.0,1.0,0.252,0.0,0.1,0.1,2.552,2,-0.552,51.0,0.0,1.0,0.0
102,3,Onyeka,Brentford,Crystal Palace,True,4.9,0.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,1.0,1,0.0,2.0,0.0,0.0,0.0
103,3,Peart-Harris,Brentford,Crystal Palace,True,4.5,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
104,2,Pinnock,Brentford,Crystal Palace,True,4.5,0.4,1,90,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,3.009,0,-3.009,57.0,1.0,0.0,0.0
105,2,Roerslev,Brentford,Crystal Palace,True,4.5,0.1,1,90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,3.009,2,-1.009,46.0,0.0,0.0,0.0
106,3,Schade,Brentford,Crystal Palace,True,5.5,0.1,1,73,1.0,0.0,1.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.1,0.1,2.752,2,-0.752,26.0,2.0,1.0,1.0
107,4,Thiago,Brentford,Crystal Palace,True,5.9,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
108,4,Toney,Brentford,Crystal Palace,True,7.3,2.5,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.252,0.0,0.0,0.0,0.0,0,0.0,,,0.0,0.0
